VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Thazhava,690523,23341,10818,12523,5995,1440,4555,990.7,3,93.85,763.47,10,6,10,110,0,64,10,2950,160,77750000.0,3685,1
Pavumba,690574,17230,8059,9171,4482,1430,3052,988.7,2,93.85,766.48,15,6,12,118,0,28,12,3250,160,77550000.0,2526,1
Edavanakkad,682502,21787,10471,11316,5293,210,2647,657.0,15,7.25,342.75,5,6,7,83,7,0,28,1200,60,92186000.0,4850,1
Kodakkad,671310,10763,5210,5553,2711,1057,1350,1499.0,15,466.0,1021.0,0,0,5,7,8,4,184,1622,12,11500000.0,552,3
Pilicode (CT),671310,10954,5165,5789,2643,926,1382,616.0,9,298.0,300.0,0,0,2,3,2,0,78,1939,4,22500000.0,620,3
Maniyat (CT),671310,3405,1609,1796,788,315,416,240.0,8,100.0,135.0,0,0,3,3,3,0,37,864,5,5500000.0,68,3
Nadapuram (CT),673504,40230,18700,21530,8455,171,1828,1589.0,15,17.0,1541.0,44,5,13,58,480,0,34,513,70,60000000.0,369,1
Perakamanna,676541,19696,9631,10065,3777,185,835,1801.5,6,36.14,1727.01,41,10,15,39,0,2,22,1806,138,108.36,416,3
Edavanna,676541,26432,12765,13667,5271,246,1107,2114.81,11,44.25,2025.53,21,22,21,58,0,3,48,2394,182,143.64,592,1
Thekkekara (Part),690107,32373,14948,17425,8609,654,2672,1528.6,2,162.0,1256.4,8,0,9,44,22,0,8,6085,1005,25000000.0,5925,1
Thodiyoor (CT),690523,25884,12333,13551,6344,190,6154,889.64,24,35.2,790.22,11,1,0,98,110,78,5,2742,284,11500000.0,2528,1
Kallelibhagom (CT),690523,21723,10417,11306,5477,110,5367,820.53,28,20.4,644.69,7,1,0,86,193,35,5,4070,478,14300000.0,2128,1
Kidangoor,686572,21261,10525,10736,6193,3905,2288,2506.06,4,151.51,2097.66,65,0,5,17,45,0,64,4425,900,12104756.0,3703,1
Puzhakkattiri,679321,29886,14204,15682,5883,267,5616,1879.0,20,335.0,1544.0,3,2,8,22,29,8,53,2750,20,16097950.0,3228,1
Engandiyur,680615,22619,10312,12307,5639,631,1342,991.59,4,527.63,398.34,4,2,242,8,0,0,0,3128,5,8227187.0,1432,1
Noornad,690529,25375,11511,13864,6899,1208,4025,1788.21,5,513.0,940.08,2,0,220,0,452,0,49,11278,300,127442000.0,4137,1
Maloth,671533,2972,1403,1569,693,508,135,1330.0,36,190.0,792.0,35,1,0,63,25,0,0,633,5,20841208.0,222,3
West Eleri,671314,10656,5315,5341,2656,1655,745,2524.0,255,536.0,1512.0,68,15,5,139,0,7,0,3855,421,21264522.0,312,0
Bheemanady,671314,15688,7582,8106,3625,2433,917,3891.0,135,577.0,2440.0,44,1,2,63,0,0,112,3008,288,21263820.0,511,0
Keerampara,686681,12525,6153,6372,3191,1500,1120,2692.4,18,209.0,2361.0,0,34,83,73,101,0,28,2812,318,12520200.0,1322,0
Pullipadam,679329,1355,647,708,352,24,128,92.5,2,9.6,81.05,1,2,1,14,0,0,24,64,0,1120000.0,76,3
Akampadam,679329,17799,8606,9193,3894,255,1218,1833.75,70,204.5,1594.175,9,17,9,142,0,6,78,3002,0,20650000.0,284,3
Kurumbilangode,679334,1680,806,874,368,58,172,198.4,10,20.62,173.812,2,4,2,24,0,2,37,608,0,3460000.0,82,3
Aimanam (CT),686015,34470,16761,17709,8576,3875,4701,2247.85,4,1358.56,847.38,8,0,0,166,142,7,130,6525,112,47521000.0,1712,1
Kayanna,673525,13755,6665,7090,3418,304,1035,1478.0,4,23.0,1450.0,105,11,37,163,2,0,0,2550,0,86000000.0,390,3
Pallikal (CT),673634,46962,23133,23829,8970,344,2022,1763.07,8,174.54,1443.52,16,11,51,72,20,0,52,3460,56,27558000.0,1073,1
Abdu Rahiman Nagar (CT),676305,41993,20401,21592,9839,2206,7633,1101.18,26,207.1644,825.4159,0,11,2,58,58,0,0,2206,300,12330500.0,1600,1
Ponmala,676503,33922,16087,17835,6237,3100,2000,1585.64,90,213.48,1284.76,2,18,2,20,17,815,14,3900,150,12035000.0,690,1
Chelambra (CT),673634,34149,16482,17667,7078,264,1286,1193.67,11,128.46,990.98,0,9,106,18,0,0,19,2486,22,26241000.0,4160,1
Vadakkummuri (CT),680571,9585,4280,5305,2462,246,2216,455.84,10,20.1,434.65,85,11,9,19,22,0,0,1820,8,6660000.0,548,3
Kizhakkummuri (CT),680571,4635,2155,2480,1186,166,1020,181.18,0,8.067,173.11,40,10,7,14,19,2,0,800,8,5600000.0,500,3
Kizhuppillikkara (CT),680702,5275,2379,2896,1283,115,1168,277.55,10,12.3,265.25,65,10,6,16,17,0,0,920,8,4800000.0,560,3
Thanniyam (CT),680565,9743,4430,5313,2465,173,2292,397.28,10,17.61,370.67,54,12,7,14,20,0,0,1638,8,4500000.0,480,3
Meenadam,686516,12321,6076,6245,3120,657,2463,893.72,4,29.67,832.75,16,0,2,1,0,3,37,1457,46,7300843.0,1592,3
Pampady,686502,1072,528,544,271,22,249,77.71,4,2.58,72.41,4,0,2,1,0,1,3,37,4,148997.0,33,3
Kallara,686611,15614,7155,8459,4245,2968,845,2389.5,12,1649.0,740.0,4,10,1,22,16,584,86,2748,1870,18134000.0,828,0
Kannamangalam (CT),676304,34754,17027,17727,7704,1200,5201,600.0,35,450.0,150.0,15,14,600,26,5,0,17,3800,60,15689100.0,5714,1
Thrikkariyoor (Part),686692,7632,3833,3799,1882,994,734,397.0,8,28.0,319.0,0,0,0,36,9,4,10,1330,28,12400000.0,692,3
Kottappady,686692,10271,5102,5169,2534,1490,838,2438.0,25,171.0,2149.0,0,2,0,55,13,2,15,1994,41,13245800.0,1602,3
Kurichy,686532,35815,17502,18313,8812,1080,7732,1557.13,15,359.0,648.35,55,18,164,58,164,11,69,4749,70,15367000.0,2764,1
Eramala (CT),673501,34658,15858,18800,7722,216,1945,1386.0,5,28.0,1280.0,31,8,7,68,5,0,78,4007,56,35000000.0,1323,1
Cheriyamundam (CT),676106,31212,14308,16904,5613,132,3104,985.0,17,284.0,701.0,0,1,0,13,9,0,3,2015,0,11200000.0,512,1
Chennithala (CT),690105,12360,5719,6641,3345,1377,1846,326.0,1,290.0,36.0,7,3,4,42,1,7,427,3377,95,24250000.0,2075,3
Kayyar,671322,4268,2190,2078,826,240,429,520.0,72,148.0,358.0,1,0,25,11,11,1,0,226,0,6946316.0,158,3
Kudalmarkala,671324,7081,3548,3533,1249,449,612,1116.9,146,425.0,638.0,2,0,42,19,19,5,0,739,0,4166790.0,285,3
Paivalike,671348,9034,4458,4576,1605,497,898,1466.0,173,424.0,961.0,10,0,54,24,24,6,0,738,0,6946316.0,298,3
Chippar,671348,2834,1421,1413,510,153,265,377.0,54,95.0,262.0,6,0,17,8,7,1,0,330,0,4168789.0,98,3
Bayar,671348,11057,5642,5415,2022,707,1234,1714.0,212,555.0,1127.0,14,0,65,30,29,12,0,1167,0,8335578.0,435,3
Ozhur,676307,34016,15807,18209,6277,626,3340,1330.0,4,465.0,630.47,25,0,11,7,0,0,0,3790,8,16008423.0,3300,1
Ponmundam (CT),676106,25855,11901,13954,6172,205,1800,695.79,10,73.71,583.03,0,0,218,4,14,0,0,3817,220,12002410.0,143,1
Perumanna (CT),676501,27278,12702,14576,4936,1612,2738,928.3,1,122.0398,755.5461,0,14,41,15,29,113,50,3309,32,18030000.0,3932,1
Othukkungal (CT),676528,39139,18595,20544,10499,76,9726,1350.37,8,276.87,954.24,0,25,0,6,0,0,169,3275,1,8441000.0,124,1
Thondernad,670731,11331,5669,5662,2555,851,1224,2402.0,11,271.0,2041.0,22,32,33,73,0,40,67,1380,0,25200000.0,723,3
Kanjirangad,670645,11811,5877,5934,2725,1279,1146,2564.0,3,251.0,2210.0,23,35,35,48,0,23,69,920,0,16800000.0,615,3
Vadayar,686605,22571,11101,11470,5612,1995,3325,1629.06,8,822.18,742.18,11,6,11,6,15,4,98,2594,125,10135400.0,3698,1
Kuravilangad,686633,18033,8862,9171,4381,2185,1678,2160.67,30,92.0,1709.36,0,1,9,16,0,20,760,2453,600,27684096.0,4018,1
Edavilangu (CT),680671,20363,9510,10853,4968,1240,3728,598.36,116,342.86,255.5,9,11,45,71,0,9,45,4100,0,10171323.0,4110,1
Thriperumthura,690512,15226,6990,8236,4021,1758,1912,1380.0,2,1200.0,106.0,2,4,6,60,1,10,675,3758,124,39560000.0,2419,1
Tanalur (CT),676307,47976,22743,25233,10852,2202,7691,1170.72,10,199.24,802.4144,26,17,433,65,0,0,0,2253,60,12966000.0,185,1
Purathur,676102,31915,15062,16853,5787,2000,3000,1553.64,0,305.3118,1112.777,637,102,82,144,36,0,0,5418,43,36617340.0,1832,1
Talakkad (CT),676102,35820,16578,19242,6883,1500,5316,1257.0,13,143.95,920.0,5,18,0,202,243,0,0,1900,12,12000000.0,395,1
Koliyoor,617323,2743,1397,1346,496,312,156,431.0,67,152.0,221.0,2,3,3,9,0,1,0,412,14,1120350.0,242,3
Kaliyoor,671323,2323,1146,1177,448,282,112,359.0,46,124.0,180.0,2,3,2,8,0,0,0,350,10,948868.0,196,3
Talikala,671323,1847,919,928,363,230,116,478.0,90,155.0,233.0,1,2,4,8,0,1,0,298,18,864956.0,135,3
Meenja,671323,4144,2044,2100,826,520,242,935.0,147,314.0,457.0,5,0,1,180,0,1,0,623,20,1692910.25,489,3
Kadambar,671323,2616,1281,1335,503,316,138,304.0,48,96.0,141.0,1,0,0,8,0,0,0,393,14,1068905.0,236,3
Moodambail,671323,4779,2282,2497,932,586,262,621.0,96,188.0,275.0,2,2,0,14,0,1,0,701,24,1952991.0,529,3
Kuloor,671323,3381,1628,1753,653,411,242,624.0,92,178.0,261.0,2,0,0,12,0,0,0,508,24,1381384.0,162,3
Majibail,671323,1485,709,776,306,193,84,309.0,48,77.0,112.0,2,0,0,18,0,1,0,223,26,606856.4,168,3
Poomangalam (CT),680688,11141,5086,6055,2909,1224,1413,788.81,6,160.21,355.6,2,0,4,5,52,0,16,1800,365,7245000.0,1383,3
Parakkad (CT),680620,9093,4422,4671,2285,890,1395,419.7,4,302.18,117.52,13,5,3,23,0,0,0,1112,0,5675000.0,912,3
Eravu (CT),680620,4447,2089,2358,1089,480,609,507.27,4,344.94,162.33,10,2,6,15,6,0,0,586,0,3360000.0,434,3
Veluthur (CT),680016,11602,5636,5966,2866,1074,1792,503.73,5,352.61,151.12,58,3,3,24,24,0,0,1312,0,6254000.0,934,3
Manakkody (CT),680012,7150,3484,3666,1719,910,809,440.91,4,308.63,132.28,18,6,8,18,0,0,0,1119,0,3985000.0,834,3
North Paravur,683513,12522,6106,6416,3122,936,2186,416.0,2,135.0,91.0,8,11,20,243,110,0,78,1980,8,237.0,3013,3
Panathady,671532,22976,11319,11657,5563,2342,2468,6800.0,54,1075.0,4075.0,9,0,0,212,0,0,21,4986,31,256560.0,34,0
Thekkumbhagom,691319,16937,8056,8881,4388,789,3599,602.176,10,45.01,547.97,4,7,1,86,92,154,6,5625,25,59716996.0,2542,1
Koduvayur-II,678502,8494,4167,4327,2018,1049,863,750.0,40,425.0,210.0,1,5,15,50,23,0,29,700,650,34387000.0,429,3
Koduvayur 1,678501,20703,10247,10456,4827,862,2450,897.0,80,470.0,391.0,1,6,16,115,20,0,24,550,475,68774000.0,856,3
Kallar,671532,19414,9493,9921,5872,3005,964,5709.0,172,1173.0,4039.0,29,23,36,113,123,4,24,4521,8,223.65,29,0
Pallippuram (CT),680732,7718,3790,3928,1896,928,662,554.54,6,133.32,421.22,106,0,1,13,2,0,82,1102,17,4467629.0,1835,3
Poyya (CT),680733,10478,5003,5475,2696,1368,978,835.77,8,198.76,637.01,124,0,2,18,2,0,138,2018,22,6082751.0,2411,3
Madathumpady (CT),680733,4294,2113,2181,1098,564,396,360.94,4,87.41,273.53,23,0,1,7,1,0,62,718,11,2474780.0,612,3
Thazhakara (CT),690102,14596,6719,7877,4023,532,2692,983.4,1,258.31,522.94,5,2,12,38,11,182,22,2590,0,6701000.0,431,3
Vadakkekara (CT),683522,18781,9158,9623,4681,1404,3277,505.0,5,145.0,245.13,13,20,18,49,221,4,93,2600,16,365.9,3900,1
Chavara (CT),691583,42655,20396,22259,10596,4000,6596,925.75,12,20.91,779.0,95,11,0,219,5,0,160,6862,2,82343350.0,10200,1
Ananthavoor,676301,21058,9714,11344,3868,2316,1498,756.5,2,54.2,467.1,0,0,0,41,160,0,0,3875,21,5470800.0,352,3
Thirunavaya (CT),676301,24790,11300,13490,4616,2564,2014,803.3,0,114.2,470.67,0,3,8,53,172,0,0,4625,25,6529200.0,453,1
Palavayal,671531,11190,5587,5603,2668,1044,1485,2830.0,31,360.0,2063.0,0,0,30,14,9,0,0,1795,75,25315370.0,327,3
Chittarikkal,671326,13885,6757,7128,3429,1632,1564,2989.0,32,434.0,2428.0,0,3,54,42,24,0,0,2754,121,34174800.0,485,0
Kariavattom,679325,15064,7192,7872,2875,125,2750,1333.0,4,173.0,1159.0,27,13,15,0,0,37,26,1259,7,12135100.0,1214,3
Vazhakkad,673640,35774,17280,18494,7435,328,1893,1741.0,10,406.0,1130.22,15,13,83,39,6,29,196,2887,20,260.82,2637,1
Kulasekharapuram (CT),690525,26907,12691,14216,6727,456,5064,835.0,3,29.14,805.86,9,6,12,114,71,7,109,7980,68,19642800.0,2264,1
Adinad (CT),690542,22250,10606,11644,5503,243,5260,785.0,3,28.553,525.45,8,4,27,72,75,5,12,5520,34,17646800.0,2110,1
Kumbadaje,671551,11161,5588,5573,2085,745,955,1965.5,755,1097.5,740.0,8,0,12,8,0,3,0,1575,745,35000000.0,555,0
Kalnad,627100,18029,8386,9643,3351,1239,2112,677.3,1250,445.39,190.8,1,1,1,25,0,8,0,1350,321,9534000.0,1250,0
Perumbala,627101,8096,3789,4307,1677,503,974,602.0,334,415.39,178.02,1,1,2,24,0,5,0,1342,300,4767000.0,680,3
Thekkil,627102,14299,6852,7447,2822,918,1904,1155.89,100,809.12,346.77,1,1,2,25,0,5,0,677,310,204055232.0,1128,3
Chemnad (CT),671317,14323,6662,7661,2747,743,1160,623.32,1120,436.32,187.0,1,1,2,25,0,5,130,1650,320,204055232.0,1128,0
Ayyampuzha,683581,14902,7665,7237,5700,1058,2263,1607.93,31,236.46,1304.86,66,0,37,28,57,3,9,1888,1615,474250016.0,1838,1
Elamba,695103,7534,3466,4068,2446,891,1555,608.22,0,0.85,555.08,24,9,18,9,1,256,605,1256,560,32124000.0,1125,3
Edakkode (CT),695103,11962,5503,6459,3876,1180,2696,508.14,1,2.96,458.57,16,13,26,151,1,52,286,1358,126,48186000.0,1900,3
Avanavancherry,695103,2179,1002,1177,700,234,466,607.3,2,1.26,509.08,2,3,5,7,0,103,145,585,80,963700.0,368,3
Mudakkal,695103,16923,7785,9138,5486,2260,3226,609.22,1,2.95,592.99,22,19,38,51,2,42,152,2300,115,70672000.0,1652,1
Chithari,671316,16074,7588,8486,3308,1024,1104,902.0,64,520.0,246.0,12,3,60,86,0,0,25,2237,180,28876810.0,260,3
Ajanur (CT),671316,33079,15364,17715,7027,1590,2720,941.0,75,470.0,176.0,11,1,26,30,0,0,48,2120,120,40425680.0,374,1
Ulliyeri (CT),673323,32509,15285,17224,7901,178,2429,2289.0,0,28.0,2132.0,81,22,11,94,80,0,0,3700,82,80000000.0,695,1
Chakkuvarakkal,691508,16086,7470,8616,4237,580,860,1461.79,0,72.38,1295.75,18,0,0,60,0,7,48,3115,350,117854700.0,45,3
Vettikkavala,691538,20118,9394,10724,5313,474,1398,1553.98,10,108.35,1426.06,16,0,0,60,0,10,51,4230,390,118317300.0,60,1
Vallikkunnu,673314,26630,13863,12767,5161,1021,2121,824.35,2,104.0,660.4,140,2,24,30,136,0,0,3861,1000,12695000.0,1150,1
Ariyallur (CT),676312,22558,10826,11732,4698,1018,2111,949.53,4,100.0,660.68,245,0,0,42,132,0,0,3869,994,12695000.0,1250,1
Vettiyar,690558,21393,9827,11566,5673,1423,3821,1065.45,3,289.12,617.08,7,1,9,41,9,723,2,3913,0,18168000.0,398,1
Peruvallur (CT),676317,34941,16883,18058,6411,2021,4022,1294.0,2,173.0,965.0,0,28,32,0,0,0,0,995,50,13949213.0,6100,1
Thenhippalam (CT),673636,32045,15723,16322,6782,1798,4100,4490.0,2,237.0,981.0,0,20,29,29,130,0,0,3562,350,28500000.0,5900,1
Nannambra (CT),676320,40543,19048,21495,6984,4400,2100,1491.0,10,453.0,1037.0,0,0,7,10,7,0,0,3700,30,11633126.0,600,1
Pallikkara (CT),671316,14334,6611,7723,2734,360,1580,538.0,107,206.0,292.0,4,6,201,35,87,4,16,1225,612,13214400.0,464,3
Panayal,671318,19186,9053,10133,4291,1280,1596,2353.0,107,844.0,1158.0,11,11,210,46,172,6,16,3855,1768,19821600.0,780,0
Keekan (CT),671316,9735,4435,5300,1831,344,749,370.0,57,153.0,180.0,3,4,125,23,104,0,1,1104,525,8259000.0,240,3
Azhikode,680666,19935,9535,10400,4606,2112,1012,443.4,10,241.0,202.38,0,3,15,7,0,8,7,2408,164,11726983.0,2499,3
Eriyad (OG),680666,26258,12383,13872,6327,3760,2116,805.73,22,448.0,357.73,0,6,31,9,0,12,13,3464,236,19512000.0,3733,1
Azhiyur (CT),673309,30023,13595,16428,6082,34,1495,768.0,10,50.0,709.0,12,3,7,22,42,0,41,608,96,32000000.0,807,1
Moonniyur (CT),676311,55535,26727,28808,10176,1990,7140,1604.04,20,211.0,1112.0,11,0,9,17,0,0,0,2075,5,22500000.0,1117,1
Padinjare Vemballur,627871,11836,5536,6280,2905,850,1805,490.6874,5,300.135,190.5524,150,13,23,11,11,0,3,850,17,40000000.0,1374,3
Elikkulam,686577,10419,5147,5272,2458,1864,594,1743.0,64,23.0,1684.0,12,2,2,3,9,0,51,2449,162,6587260.0,376,3
Elamgulam,686522,14080,6925,7155,3420,2314,1106,1928.0,58,22.0,1902.0,9,9,2,10,11,0,41,2217,21,4929740.0,420,3
Vazhayur (CT),673633,30262,14898,15364,6468,298,2765,1281.0,22,241.15,1039.85,7,20,86,63,74,14,21,2650,68,24152000.0,970,1
Kanthalad,627380,9784,4622,5162,2426,198,633,1284.0,1,46.0,1216.0,25,10,82,12,47,0,31,2240,64,30000000.0,69,3
Kinalur,627383,9840,4620,5220,2420,242,862,928.0,0,32.0,874.0,24,8,85,13,48,0,34,2078,63,35000000.0,65,3
Panangad (CT),627396,14347,6891,7456,3637,275,956,876.0,1,40.0,814.0,32,8,82,10,45,0,34,2910,81,35000000.0,92,3
Panangad (CT),627878,15630,7392,8238,3864,1000,2564,616.1938,12,300.4462,315.7476,225,17,27,27,14,0,2,1000,22,50000000.0,1500,3
Panachikkad (CT),686533,43595,21370,22225,11004,1007,9997,1748.0,18,286.92,967.08,0,1,27,61,40,0,19,3466,2,11390400.0,4600,1
Moodadi,673529,30170,13910,16260,6906,125,1622,1289.0,7,36.0,1170.0,11,7,2,84,3,0,0,4080,78,41000004.0,989,1
Perambra,673525,3381,1584,1797,817,58,314,1390.0,12,38.0,1012.0,14,13,4,52,3,0,26,620,0,23579000.0,160,3
Meenadam,686502,1068,520,548,269,81,188,72.0,0,3.0,66.0,2,0,1,0,0,1,3,95,6,178860.0,139,3
Pampady,686502,34559,16798,17761,8699,3888,4811,2429.0,10,62.0,2361.0,9,0,11,4,0,3,13,4605,294,16081260.0,5628,1
Chorode (CT),673106,38245,17918,20327,8089,80,2178,864.0,21,51.0,779.0,3,7,22,34,13,0,22,3400,200,50000000.0,4100,1
Pattazhy Vadakkekara,691556,15160,7082,8078,4101,985,3116,1595.5,6,80.98,1326.67,76,0,2,13,6,8,18,2190,850,63284000.0,869,3
Pilakkad,680585,3276,1608,1668,774,251,77,297.36,15,70.6,192.27,4,0,0,2,1,0,12,763,170,1757706.0,693,3
Raroth,673573,27435,13100,14335,6345,237,1608,1648.0,27,203.0,1445.0,385,9,48,50,10,0,0,3080,186,2500000.0,2438,1
Kedavur,673573,8271,3953,4318,1827,73,381,498.0,8,61.0,437.0,115,8,22,19,6,0,0,920,64,1500000.0,728,3
Kunnukara,683578,16542,8064,8478,4119,741,1935,1328.4,2,774.4,554.0,30,10,18,36,51,50,16,1979,9,19462752.0,1719,3
Puthenvelikkara (CT),683594,5223,2546,2677,1300,195,585,422.45,0,317.0,105.0,10,1,57,11,36,22,4,532,5,602894.0,437,3
Patla,671124,5481,2660,2821,982,481,393,351.0,62,220.0,116.0,0,0,0,22,0,2,2,126,40,3696440.0,90,3
Shiribagilu (CT),671124,7630,3757,3873,1449,652,560,412.0,45,235.0,156.0,0,0,0,90,0,2,3,91,29,5376640.0,100,3
Madhur (CT),671124,12685,6218,6467,2526,909,1389,812.0,173,452.0,322.0,0,0,0,37,0,3,8,217,70,9409120.0,236,3
Kudlu (CT),671724,15667,7614,8053,3431,1570,1380,370.0,212,240.0,123.0,0,0,0,45,0,4,10,266,86,15121800.0,120,3
Edacheri (CT),673502,26819,12368,14451,5985,243,1371,1309.0,10,35.0,1193.0,15,4,16,86,39,0,0,4020,40,86400000.0,2720,1
Keralassery,678641,15022,7123,7899,3683,553,815,1948.89,5,405.95,1368.04,28,9,16,0,0,0,35,2172,20,31251000.0,1315,3
Thichur,680585,8165,3863,4302,1750,574,473,514.24,22,126.0,191.0,4,0,1,2,1,6,24,1023,68,4687216.0,1537,3
Varavoor,680585,8944,4278,4666,2097,695,227,690.55,18,148.1,22.41,7,0,1,2,1,7,25,1243,71,5273118.0,1834,3
Chellanam,682008,14928,7434,7494,3446,108,2055,500.5,3,2.18,181.97,33,5,5,22,25,0,99,942,145,10024795.0,2898,3
Kumbalangy (CT),682008,12969,6504,6465,3000,94,1812,437.93,0,1.83,115.79,12,1,2,14,14,0,86,720,94,7912345.0,2565,3
Palluruthy,682008,9502,4699,4803,2234,65,1294,312.81,1,1.13,68.46,12,1,2,14,14,0,63,580,61,6895860.0,1829,3
Keezhmad,683105,36567,17871,18696,8635,1392,1828,999.36,5,617.0,315.0,0,7,37,115,59,550,314,1536,86,6915920.0,7479,1
Ayancheri (CT),673541,26293,12372,13921,5864,268,1194,1738.0,8,112.0,1447.0,7,8,17,34,1,0,0,3500,0,30000000.0,1626,1
Chengalam East,686585,403,199,204,98,49,49,17.0,0,1.0,13.8936,2,0,0,0,0,0,0,145,43,153270.0,60,3
Anikkad,686503,17175,8487,8688,4291,2107,2184,1882.0,1,18.0,1842.0,7,7,0,25,5,0,31,3765,25,10003725.0,3150,1
Kakkodi (CT),673611,42866,20434,22432,10163,96,3372,1483.0,11,36.0,1359.0,25,9,5,83,0,0,18,6100,2,30894000.0,210,1
Munderi (CT),670591,21676,9904,11772,4246,2750,1496,780.0,6,124.0,560.0,1,6,12,15,44,0,320,2500,249,7750000.0,400,1
Kanhirode (CT),670592,15353,7099,8254,3145,2030,1115,781.0,5,125.0,569.0,1,0,2,2,5,0,330,2400,240,7750000.0,320,3
Sooranad North,690561,28471,13478,14993,7378,1918,4480,1873.16,0,261.66,1156.54,84,2,33,75,34,21,62,5805,120,198746288.0,3620,1
Parli-I,678612,17369,8489,8880,4072,554,1116,963.0,11,340.0,292.0,32,25,142,7,65,29,24,1212,30,32575590.0,1400,3
Parli-II,678611,17082,8321,8761,4078,456,1193,961.0,12,338.0,292.0,12,20,128,11,76,20,24,994,18,14635410.0,318,3
Karakunnu,676123,16525,8049,8476,3275,152,462,1304.0,2,84.6,1174.5,16,6,0,18,0,4,192,1084,16,11544101.0,612,3
Trikkalangode,676123,15112,7385,7727,3071,152,492,1266.0,4,84.8,1112.0,16,6,0,18,0,4,182,826,14,9732000.0,158,3
Elankur,676122,20453,9706,10747,4069,292,961,2569.0,4,167.0,2258.6,8,4,0,20,0,14,174,1432,12,16644000.0,54,3
Chalavara,679505,23466,11097,12369,5116,1200,3916,1990.0,250,450.0,1540.0,0,14,0,83,0,1,0,2110,165,16268000.0,480,1
Kondoor,686123,20616,10277,10339,4851,2695,1798,3439.0,0,4.0,3259.0,0,0,61,133,9,10,13,3432,16,11987250.0,2671,0
Erattupetta (CT),686123,136,69,67,59,32,27,2.8,0,1.3,1.3,0,0,2,1,0,1,3,35,3,3995750.0,28,3
Kizhakkencheri-II,678684,17584,8661,8923,4188,1942,1552,3556.0,22,808.0,254.0,72,0,3,90,85,0,0,1963,38,10800000.0,1785,0
Kizhakkencheri-I,678684,23344,11500,11844,5542,2520,1734,3562.0,28,815.0,2564.0,110,0,5,89,92,0,0,2635,20,19200000.0,1722,0
Kuttiadi,673508,19351,9100,10251,4511,202,1097,1277.0,5,40.0,1237.0,12,14,37,127,80,0,6,5028,25,44745896.0,811,1
Kunnummal (CT),673507,18031,8479,9552,4303,205,1111,878.0,4,9.0,859.0,68,8,2,78,0,0,0,2314,200,46935030.0,1112,3
Erumeli North,686513,2276,1078,1198,525,446,79,137.29,0,2.25,135.04,2,5,25,97,14,0,5,397,5,8934100.0,263,3
Koruthode,686513,14137,7018,7119,3605,2784,821,1610.55,3,3.45,1607.1,2,15,113,418,34,0,109,2456,5,30933000.0,1084,0
Mulavana,691502,235,113,122,60,9,26,5.87,0,0.2,4.97,3,2,6,2,12,1,0,61,0,902000.0,41,3
Perayam,691503,21236,10005,11231,5539,199,2848,761.66,5,9.5,746.76,63,11,36,20,80,10,0,2368,0,25098000.0,3169,1
Maruthonkara,673513,19871,9533,10338,4772,100,1577,1990.0,20,50.0,1934.0,125,17,50,85,0,8,35,4000,20,76087040.0,1730,1
Kottathara,678581,10195,5072,5123,2790,530,925,6060.0,250,1240.0,2460.0,85,5,120,96,110,35,20,1705,28,33483000.0,1025,0
Sholayur,678581,7012,3507,3505,1885,425,605,5990.0,260,1350.0,1730.0,55,8,135,119,125,31,25,1535,31,33482608.0,875,0
Melukavu,686652,11228,5581,5647,2855,2107,748,2567.0,8,5.0,2475.0,0,0,174,36,74,5,42,2855,2820,24418040.0,164,0
Thalappalam,686579,117,51,66,43,29,14,30.0,2,1.0,29.0,0,0,0,2,2,0,2,25,25,225000.0,0,3
Ambalathara,671314,9120,4268,4852,2217,1158,736,2107.0,5,385.0,1560.0,24,6,28,1,1,0,7,2914,50,25284000.0,248,3
